Частота вхождения символов в тексте:
Символ: ' ', Количество: 162, Процент: 19.45%
Символ: 'n', Количество: 57, Процент: 6.84%
Символ: 't', Количество: 47, Процент: 5.64%
Символ: 's', Количество: 43, Процент: 5.16%
Символ: 'h', Количество: 42, Процент: 5.04%
Символ: 'o', Количество: 41, Процент: 4.92%
Символ: 'r', Количество: 40, Процент: 4.80%
Символ: 'a', Количество: 37, Процент: 4.44%
Символ: 'е', Количество: 36, Процент: 4.32%
Символ: 'i', Количество: 32, Процент: 3.84%
Символ: 'd', Количество: 32, Процент: 3.84%
Символ: 'g', Количество: 25, Процент: 3.00%
Символ: 'e', Количество: 25, Процент: 3.00%
Символ: 'p', Количество: 19, Процент: 2.28%
Символ: 'о', Количество: 18, Процент: 2.16%
Символ: 'u', Количество: 18, Процент: 2.16%
Символ: 'w', Количество: 18, Процент: 2.16%
Символ: 'y', Количество: 16, Процент: 1.92%
Символ: 'l', Количество: 14, Процент: 1.68%
Символ: '"', Количество: 14, Процент: 1.68%
Символ: '.', Количество: 12, Процент: 1.44%
Символ: 'f', Количество: 11, Процент: 1.32%
Символ: 'm', Количество: 10, Процент: 1.20%
Символ: 'c', Количество: 10, Процент: 1.20%
Символ: ',', Количество: 10, Процент: 1.20%
Символ: 'а', Количество: 9, Процент: 1.08%
Символ: '
', Количество: 7, Процент: 0.84%
Символ: 'k', Количество: 5, Процент: 0.60%
Символ: 'v', Количество: 4, Процент: 0.48%
Символ: 'W', Количество: 4, Процент: 0.48%
Символ: 'b', Количество: 3, Процент: 0.36%
Символ: 'I', Количество: 3, Процент: 0.36%
Символ: 'A', Количество: 2, Процент: 0.24%
Символ: ''', Количество: 2, Процент: 0.24%
Символ: '?', Количество: 2, Процент: 0.24%
Символ: 'T', Количество: 2, Процент: 0.24%
Символ: 'S', Количество: 1, Процент: 0.12%
